nr_reads	nr_writes	nr_ops
3874120262	7893	3874128155
3891638813	7278	3891646091
3991900632	7443	3991908075
3880160135	7790	3880167925
3870696562	7470	3870704032
3956040273	7390	3956047663
3919342542	7707	3919350249
4020003257	7629	4020010886
3958100752	7280	3958108032
3893159732	7437	3893167169
3874227433	6924	3874234357
3816051994	7132	3816059126
3906729764	7689	3906737453
3855565240	7400	3855572640
3828201772	7599	3828209371
3863581607	7782	3863589389
3884318837	7912	3884326749
3870781365	7658	3870789023
3905996357	7670	3906004027
3842801108	7900	3842809008
3787809621	7092	3787816713
3874612038	7446	3874619484
3899128016	7786	3899135802
3870023508	7714	3870031222
3908501693	7089	3908508782
3905283539	7158	3905290697
3862398572	7534	3862406106
3947479446	8198	3947487644
3872287797	7798	3872295595
3851629765	7382	3851637147
3927581969	7496	3927589465
3982222464	7598	3982230062
3801362829	7927	3801370756
3922433825	7672	3922441497
3824940259	7582	3824947841
3964738144	7879	3964746023
3882521342	7571	3882528913
4008482749	7852	4008490601
3983699270	7336	3983706606
3868282895	7444	3868290339
3751635195	7847	3751643042
3886519829	7811	3886527640
3916356410	8094	3916364504
3965601419	7265	3965608684
3775589864	7821	3775597685
3964637716	7387	3964645103
3956037876	8179	3956046055
3852402174	7712	3852409886
3977804745	7687	3977812432
3890406380	6970	3890413350
3877954205	7789	3877961994
3835411158	7439	3835418597
3865258596	7000	3865265596
3864463133	7527	3864470660
3974083952	7768	3974091720
3896022477	7445	3896029922
3881118867	7483	3881126350
3966003579	7941	3966011520
3935606680	7353	3935614033
3951803231	6900	3951810131
3923132594	8012	3923140606
3934421805	7871	3934429676
3994144596	7744	3994152340
3938080238	7486	3938087724
3895919433	7626	3895927059
4018692765	7782	4018700547
4031305921	7569	4031313490
3914312949	7597	3914320546
3910951120	7143	3910958263
3936338838	7680	3936346518
3835713740	7392	3835721132
3981424411	7710	3981432121
3857299730	7232	3857306962
3864955701	6997	3864962698
3817602062	7968	3817610030
3938173423	7591	3938181014
3905532272	7343	3905539615
4004079611	7669	4004087280
3910209643	7693	3910217336
3908974061	7867	3908981928
3812084354	6882	3812091236
4025610668	8054	4025618722
3970815297	7395	3970822692
3852150979	8205	3852159184
3804936812	7003	3804943815
3890701158	7818	3890708976
3923014830	7479	3923022309
3885438437	7083	3885445520
3864067000	6930	3864073930
3843068473	7675	3843076148
3972951243	8044	3972959287
3958513565	7768	3958521333
3926057217	7042	3926064259
3835549941	7802	3835557743
3781187082	7713	3781194795
3907060952	7894	3907068846
3892466002	7768	3892473770
3804818995	7037	3804826032
3957728998	7693	3957736691
3903094433	7255	3903101688
