nr_reads	nr_writes	nr_ops
246696036	28747152	275443188
248581564	26699566	275281130
245722307	29369128	275091435
250647098	28097274	278744372
242468157	29656190	272124347
247232660	27621426	274854086
251800140	29020300	280820440
254056951	26944622	281001573
248866541	28537687	277404228
248559342	30522394	279081736
241648766	30685538	272334304
248550105	26275840	274825945
243218254	30213298	273431552
244260283	27036314	271296597
240651432	26965988	267617420
249209652	27390831	276600483
244788416	27245789	272034205
249799338	29801480	279600818
254608524	29192550	283801074
247442417	28364621	275807038
243918477	30421674	274340151
251490860	28308736	279799596
248346176	29973659	278319835
243641102	28961116	272602218
248746767	28151217	276897984
255458485	28542005	284000490
236510455	28137890	264648345
244475529	28263640	272739169
244493470	27555538	272049008
247809885	28403047	276212932
246978156	26250125	273228281
250708335	29462468	280170803
249116231	28928358	278044589
245750533	27575501	273326034
244118955	28901887	273020842
246117565	29252977	275370542
253589511	29340371	282929882
251291700	28190601	279482301
248687159	28139782	276826941
246323225	29433104	275756329
249655662	27801395	277457057
242940662	28190196	271130858
249171034	29612363	278783397
247129261	26962001	274091262
248088889	28023924	276112813
246691255	26912772	273604027
252658132	28055693	280713825
246860464	26532289	273392753
250771069	30417577	281188646
244422188	27290569	271712757
242290202	27183495	269473697
245313090	25655080	270968170
252171756	29559319	281731075
250452529	28033649	278486178
248197990	26632383	274830373
243747218	28045155	271792373
252553853	29452590	282006443
245338182	29048379	274386561
244086142	28472896	272559038
241359482	28822424	270181906
241712010	25962597	267674607
249258701	26777732	276036433
243108055	26850112	269958167
242088467	27762868	269851335
251001015	27195337	278196352
248089956	27525658	275615614
250727876	29621050	280348926
251812606	28506404	280319010
242235139	30327310	272562449
252051904	28634328	280686232
253464635	29245622	282710257
246573889	28901868	275475757
247961429	26962012	274923441
242235707	27499237	269734944
248033686	28958378	276992064
243227524	27350872	270578396
250436512	30266341	280702853
248508100	27712225	276220325
247085099	29593213	276678312
244201763	26416470	270618233
247583089	26929621	274512710
250801697	28937317	279739014
249798835	27939382	277738217
244095602	27066401	271162003
238135713	30139099	268274812
243596944	28389008	271985952
250944294	28077703	279021997
249705284	30084761	279790045
240764745	27804048	268568793
250822110	28048990	278871100
251666090	29310206	280976296
250056410	29823301	279879711
254871904	31817975	286689879
251121489	26386245	277507734
252032484	29712404	281744888
246835451	29126039	275961490
244872909	28059069	272931978
244424008	27142629	271566637
244573344	28641603	273214947
246730466	28188819	274919285
