nr_reads	nr_writes	nr_ops
18818881	100	18818981
3182	6205392	6208574
6340	6265755	6272095
20138438	73097	20211535
18196518	171824	18368342
18316984	100	18317084
25057	6309186	6334243
18602523	100	18602623
5987	6452692	6458679
17970734	14658	17985392
6033	6386139	6392172
17995144	136	17995280
17946598	3349	17949947
17988	6423485	6441473
100	6298781	6298881
19333035	44815	19377850
18132	4450602	4468734
17154628	153387	17308015
17242415	4230	17246645
29298	6533199	6562497
19142430	8118	19150548
7029	6000108	6007137
13492	6160602	6174094
100	6549379	6549479
18177816	8287	18186103
18152215	100	18152315
18277916	19625	18297541
19002801	100	19002901
14965198	2171	14967369
510	6351297	6351807
19104200	100	19104300
18808169	17669	18825838
18823362	19621	18842983
19339622	2413	19342035
6927	6303628	6310555
479	5664586	5665065
20362158	5524	20367682
18257992	860	18258852
17817254	4827	17822081
17392047	59058	17451105
18638568	24395	18662963
24487779	100	24487879
19488969	12995	19501964
20228819	11495	20240314
18039709	3795	18043504
17402804	9627	17412431
16875	6429062	6445937
98528	6343028	6441556
490	6549007	6549497
16939913	20099	16960012
887	6575642	6576529
564	6307110	6307674
3229	6385625	6388854
17765055	100	17765155
12466	4522167	4534633
18431082	100	18431182
4398	6475271	6479669
17207273	100	17207373
30313	6546534	6576847
17736582	109563	17846145
18400622	52676	18453298
17483925	80908	17564833
17415173	64536	17479709
167764	6329348	6497112
18864855	353	18865208
4847	6391352	6396199
27194	6546780	6573974
5934	6553826	6559760
17342541	22107	17364648
17867185	13327	17880512
18261557	100	18261657
5563	6504591	6510154
46027	6509071	6555098
18088220	30816	18119036
19374635	100	19374735
4425	6427976	6432401
401	6342679	6343080
14147585	3413	14150998
65060	6468118	6533178
11800	6337073	6348873
52949	6273507	6326456
18650804	42476	18693280
18113309	100	18113409
17690406	100	17690506
18617501	15725	18633226
17451696	2272	17453968
1353	6499938	6501291
4061	6530283	6534344
17577762	38188	17615950
1677	6592338	6594015
16209	6524436	6540645
17028481	25708	17054189
20531558	100	20531658
18785467	100	18785567
17610116	36638	17646754
18744193	100	18744293
17788969	26945	17815914
19548237	100	19548337
17669922	10317	17680239
634	6347780	6348414
